PHASE 2 RESULTS: TRAINING WINNERS
================================================================================

Total Entries: 5738
Winners: 1081
Losers: 4657

WINNERS:
--------------------------------------------------------------------------------
2025-08-18 | BEN    | BEN|29.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.45 | Return: 350.0% | Days: 2
2025-08-18 | HBAN   | HBAN|19.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.20 | Return: 100.0% | Days: 2
2025-08-18 | NNN    | NNN|45.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.21 | Return: 110.0% | Days: 2
2025-08-18 | TFC    | TFC|52.5|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.19 | Return:  90.0% | Days: 1
2025-08-19 | KHC    | KHC|22.5|2025-10-17|PUT        | Entry: $0.09 | Exit: $0.12 | Return:  33.3% | Days: 3
2025-08-19 | PFE    | PFE|22.0|2025-10-17|PUT        | Entry: $0.08 | Exit: $0.10 | Return:  25.0% | Days: 1
2025-08-19 | VICI   | VICI|35.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.21 | Return: 110.0% | Days: 1
2025-08-19 | VZ     | VZ|37.0|2025-10-17|PUT         | Entry: $0.06 | Exit: $0.09 | Return:  50.0% | Days: 3
2025-08-28 | CAG    | CAG|22.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.13 | Return:  30.0% | Days: 2
2025-08-28 | CSCO   | CSCO|57.5|2025-10-17|PUT       | Entry: $0.08 | Exit: $0.16 | Return: 100.0% | Days: 2
2025-08-28 | HBAN   | HBAN|20.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.30 | Return: 200.0% | Days: 2
2025-08-28 | HRL    | HRL|30.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 2
2025-08-28 | HST    | HST|14.0|2025-10-17|PUT        | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-08-28 | KHC    | KHC|22.5|2025-10-17|PUT        | Entry: $0.08 | Exit: $0.12 | Return:  50.0% | Days: 2
2025-08-28 | KVUE   | KVUE|17.0|2025-10-17|PUT       | Entry: $0.09 | Exit: $0.48 | Return: 433.3% | Days: 5
2025-08-28 | NLY    | NLY|23.0|2025-10-17|CALL       | Entry: $0.04 | Exit: $0.15 | Return: 275.0% | Days: 4
2025-08-28 | O      | O|62.5|2025-10-17|CALL         | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 5
2025-08-28 | VZ     | VZ|37.0|2025-10-17|PUT         | Entry: $0.06 | Exit: $0.09 | Return:  50.0% | Days: 2
2025-08-29 | AMCR   | AMCR|8.0|2025-10-17|PUT        | Entry: $0.10 | Exit: $0.17 | Return:  70.0% | Days: 1
2025-08-29 | CPNG   | CPNG|33.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.64 | Return: 540.0% | Days: 4
