Symbol,Company,Country,Sector,Industry,Has Quote,Has Options,Price,Avg Volume,52w High,52w Low,Num Expirations
AEM,Agnico Eagle Mines,Canada,Basic Materials,Gold Mining,True,True,218.69,2765528,255.24,94.77,21
AU,AngloGold Ashanti,South Africa,Basic Materials,Gold Mining,True,True,104.75,2267788,129.14,31.58,7
BHP,BHP Group,Australia,Basic Materials,Diversified Mining,True,True,70.90,4115644,83.22,39.73,10
FNV,Franco-Nevada,Canada,Basic Materials,Precious Metals Royalties,True,True,263.37,822278,285.67,140.03,6
GOLD,Barrick Gold,Canada,Basic Materials,Gold Mining,True,True,49.19,,66.70,17.00,7
RIO,Rio Tinto,UK/Australia,Basic Materials,Diversified Mining,True,True,90.73,3885870,101.53,51.67,11
SQM,Sociedad Quimica y Minera,Chile,Basic Materials,Lithium/Chemicals,True,True,75.74,1418290,86.13,29.36,7
TECK,Teck Resources,Canada,Basic Materials,Diversified Mining,True,True,51.90,4497616,62.41,28.32,16
VALE,Vale SA,Brazil,Basic Materials,Iron Ore/Mining,True,True,15.05,37205281,17.72,8.05,15
WPM,Wheaton Precious Metals,Canada,Basic Materials,Precious Metals Streaming,True,True,146.26,2295929,165.76,68.03,15
AMX,America Movil,Mexico,Communication Services,Telecom,True,True,23.04,2590476,26.16,13.10,4
SPOT,Spotify,Sweden,Communication Services,Music Streaming,True,True,511.01,1297445,785.00,405.00,20
FLUT,Flutter Entertainment,Ireland,Consumer Cyclical,Sports Betting,True,True,106.50,511310,313.69,99.96,7
HMC,Honda Motor,Japan,Consumer Cyclical,Automotive,True,True,26.05,1154197,34.89,24.56,8
JD,JD.com,China,Consumer Cyclical,E-commerce,True,True,27.93,9828564,45.75,24.51,18
LI,Li Auto,China,Consumer Cyclical,Electric Vehicles,True,True,17.84,3791300,32.02,15.71,13
MELI,MercadoLibre,Argentina,Consumer Cyclical,E-commerce/Fintech,True,True,1665.26,528877,2645.22,1654.24,21
NIO,NIO Inc,China,Consumer Cyclical,Electric Vehicles,True,True,5.54,44406963,8.02,3.02,14
STLA,Stellantis,Netherlands,Consumer Cyclical,Automotive,True,True,6.88,15414567,12.74,6.85,13
TM,Toyota Motor,Japan,Consumer Cyclical,Automotive,True,True,216.35,319889,248.90,155.00,10
XPEV,XPeng,China,Consumer Cyclical,Electric Vehicles,True,True,20.09,6919635,28.23,15.38,14
YUMC,Yum China,China,Consumer Cyclical,Restaurants,True,True,52.38,2732939,58.39,41.00,5
ABEV,Ambev,Brazil,Consumer Defensive,Beverages,True,True,2.87,25323263,3.24,2.10,5
