Symbol,Company Name,Has Alerts,Alert Count,Price,Sector,Industry,Market Cap,Market Cap Category,Tradier Avg Vol,Actual Avg Stock Vol (30d),Avg Daily Opt Vol (30d),Peak Daily Opt Vol (30d),Avg Total OI (30d),Liquidity Tier,Beta,Keep
AA,Alcoa Corp,Yes,8,59.65,Basic Materials,Aluminum,15636248252,Large,5346961,7678013,14439,43935,108529,high,2.0963,
AAL,American Airlines Group Inc,Yes,14,11.18,Industrials,Airlines,7784990915,Mid,9539547,62153184,81048,240409,423524,high,1.6496,
AAON,AAON Inc,No,0,88.33,Industrials,Building Products & Equipment,7544619640,Mid,1000164,947325,122,1573,1515,high,1.9661,
AAP,Advance Auto Parts Inc,Yes,6,50.33,Consumer Cyclical,Auto Parts,3080726000,Mid,2042803,2067249,6808,16463,65054,high,1.4904,
AAPL,Apple Inc,Yes,31,257.46,Technology,Consumer Electronics,3821353930600,Mega,48098039,51586614,910461,1733527,1550037,ultra_liquid,0.9138,
ABBV,AbbVie Inc,Yes,2,230.11,Healthcare,Drug Manufacturers - General,410834069938,Mega,6606173,7018198,9389,18644,87390,high,-0.0467,
ABNB,Airbnb Inc,Yes,1,133.23,Consumer Cyclical,Travel Services,81443971193,Large,4795846,5390371,10494,34408,76536,high,1.2997,
ACGL,Arch Capital Group Ltd,No,0,97.21,Financial Services,Insurance - Reinsurance,34530712206,Large,1306565,1863483,215,1342,3075,high,-0.5206,
ACI,Albertsons Companies Inc,Yes,0,17.77,Consumer Defensive,Grocery Stores,8890696993,Mid,0,6175653,552,1958,15405,N/A,-0.4858,
ACM,AECOM,No,0,94.06,Industrials,Engineering & Construction,12124687158,Large,1475172,1703082,248,1530,2419,high,1.5554,
ACN,Accenture PLC,Yes,0,215,Technology,Information Technology Services,131703124026,Large,5364526,6806642,6148,24220,37828,high,1.2029,
ADBE,Adobe Inc,Yes,1,283.62,Technology,Software - Application,115654270000,Large,5237174,5787604,31727,119712,110330,high,0.5005,
ADC,Agree Realty Corp,No,0,81.35,Real Estate,REIT - Retail,9725893067,Mid,1338311,1306079,141,956,2088,high,-0.647,
ADI,Analog Devices Inc,Yes,0,315.81,Technology,Semiconductors,160970674646,Large,2185225,4489090,8683,39955,45210,high,1.2297,
ADM,Archer-Daniels-Midland Co,Yes,0,67.44,Consumer Defensive,Farm Products,32014358681,Large,2897877,3657370,3362,41513,26662,high,0.3934,
ADSK,Autodesk Inc,Yes,2,260.99,Technology,Software - Application,55729320000,Large,1435022,2495378,2154,11062,15337,high,1.3002,
ADT,ADT Inc,No,0,6.55,Industrials,Security & Protection Services,5525200840,Mid,1374878,13938424,1686,36924,17730,high,0.9825,Keep
AEP,American Electric Power Co Inc,Yes,0,131.87,Utilities,Utilities - Regulated Electric,71415348894,Large,2394845,3651872,1701,8341,20316,high,-0.2619,
AES,The AES Corp,Yes,2,14.15,Utilities,Diversified Utilities,10126359823,Large,4227125,14899053,13617,56864,91854,high,0.8508,
AFRM,Affirm Holdings Inc,Yes,4,51.7,Financial Services,Credit Services,17488309177,Large,6298547,7703076,16808,46876,76729,high,1.9468,
AGNC,AGNC Investment Corp,No,0,10.64,Real Estate,REIT - Mortgage,12085600303,Large,5578289,22937458,24007,84834,314026,high,0.5684,Keep
AIG,American International Group Inc,No,0,78.72,Financial Services,Insurance - Reinsurance,42962332216,Large,4793705,4043476,2622,10756,69296,high,-0.1141,Keep
AL,Air Lease Corp,No,0,64.52,Industrials,Rental & Leasing Services,7238607710,Mid,669789,1932585,15,200,2100,moderate,0.0215,
ALAB,Astera Labs Inc,Yes,11,119.2,Technology,Semiconductors,20425740360,Large,5168013,5606369,18906,47163,61682,high,3.7679,
ALB,Albemarle Corp,Yes,11,162.29,Basic Materials,Specialty Chemicals,19318694774,Large,1836414,2888069,5484,16056,38643,high,2.1679,
ALGM,Allegro Microsystems Inc,No,0,31.93,Technology,Semiconductors,6073834718,Mid,2588323,3035188,395,3905,3066,high,1.9145,
ALK,Alaska Air Group Inc,Yes,7,42.3,Industrials,Airlines,5021295510,Mid,1201087,3947679,1958,11829,15720,high,2.3511,
ALLY,Ally Financial Inc,No,0,38.07,Financial Services,Credit Services,12308870700,Large,3556592,3849811,2831,14020,48001,high,1.3085,
AM,Antero Midstream Corp,No,0,22.97,Energy,Oil & Gas Midstream,10814631660,Large,7253376,3084381,736,3713,12673,high,-0.0892,
AMAT,Applied Materials Inc,Yes,3,324.74,Technology,Semiconductor Equipment & Materials,275009627211,Mega,7360788,8206713,24525,91588,81515,high,2.8573,
AMCR,Amcor PLC,No,0,43.28,Consumer Cyclical,Packaging & Containers,20186776196,Large,5172101,6314330,436,2843,4968,high,2.7318,
AMD,Advanced Micro Devices Inc,Yes,25,192.43,Technology,Semiconductors,325185442636,Mega,55628230,40188307,487825,925258,787122,ultra_liquid,2.8741,
AMGN,Amgen Inc,Yes,3,369.53,Healthcare,Drug Manufacturers - General,198161277330,Large,2263055,2906339,20595,395654,57812,high,0.6028,
AMT,American Tower Corp,Yes,0,188.59,Real Estate,REIT - Specialty,87456155624,Large,1614300,3240343,1636,5994,17369,high,-0.1876,
AMTM,Amentum Holdings Inc,No,0,30.01,Industrials,Specialty Business Services,7457098330,Mid,2132611,2381905,774,2340,13543,high,1.1984,
AMZN,Amazon.com Inc,Yes,46,213.21,Consumer Cyclical,Internet Retail,2350303575277,Mega,47789032,58613614,807777,2154771,1401680,ultra_liquid,1.168,
ANET,Arista Networks Inc,Yes,8,132.89,Technology,Computer Hardware,175161384096,Large,769921,8825924,19009,80617,114751,moderate,2.4538,
AOS,A.O. Smith Corp,No,0,71.01,Industrials,Specialty Industrial Machinery,9959639822,Mid,1761608,1484039,596,2829,13203,high,0.4652,
APA,APA Corp,No,0,32.68,Energy,Oil & Gas E&P,11484190347,Large,6321940,7705178,7361,24407,60286,high,0.2182,Keep
